date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-10-22,2122,Ligue 1,St Etienne,Angers,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-22,2122,Ligue 1,St Etienne,Angers,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-22,2122,Ligue 1,St Etienne,Angers,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-10-22,2122,Ligue 1,St Etienne,Angers,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-10-23,2122,Ligue 1,Lille,Brest,OVER25,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-23,2122,Ligue 1,Lille,Brest,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-10-23,2122,Ligue 1,Lille,Brest,BTTS_YES,0.8,1.25,1.1904761904761905,0.19047619047619047
2021-10-23,2122,Ligue 1,Lille,Brest,BTTS_NO,0.19999999999999996,5.000000000000001,4.761904761904763,-1.0
2021-10-23,2122,Ligue 1,Nantes,Clermont,OVER25,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-23,2122,Ligue 1,Nantes,Clermont,UNDER25,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-23,2122,Ligue 1,Nantes,Clermont,BTTS_YES,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-23,2122,Ligue 1,Nantes,Clermont,BTTS_NO,0.5,2.0,1.9047619047619047,-1.0
2021-10-24,2122,Ligue 1,Lens,Metz,OVER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-24,2122,Ligue 1,Lens,Metz,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-24,2122,Ligue 1,Lens,Metz,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-24,2122,Ligue 1,Lens,Metz,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-24,2122,Ligue 1,Lorient,Bordeaux,OVER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-24,2122,Ligue 1,Lorient,Bordeaux,UNDER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-24,2122,Ligue 1,Lorient,Bordeaux,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-10-24,2122,Ligue 1,Lorient,Bordeaux,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-10-24,2122,Ligue 1,Monaco,Montpellier,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-24,2122,Ligue 1,Monaco,Montpellier,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-24,2122,Ligue 1,Monaco,Montpellier,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-24,2122,Ligue 1,Monaco,Montpellier,BTTS_NO,0.4,2.5,2.380952380952381,-1.0
2021-10-24,2122,Ligue 1,Reims,Troyes,OVER25,0.3,3.3333333333333335,3.1746031746031744,2.1746031746031744
2021-10-24,2122,Ligue 1,Reims,Troyes,UNDER25,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-10-24,2122,Ligue 1,Reims,Troyes,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-24,2122,Ligue 1,Reims,Troyes,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-24,2122,Ligue 1,Rennes,Strasbourg,OVER25,0.4,2.5,2.380952380952381,-1.0
2021-10-24,2122,Ligue 1,Rennes,Strasbourg,UNDER25,0.6,1.6666666666666667,1.5873015873015872,0.5873015873015872
2021-10-24,2122,Ligue 1,Rennes,Strasbourg,BTTS_YES,0.5,2.0,1.9047619047619047,-1.0
2021-10-24,2122,Ligue 1,Rennes,Strasbourg,BTTS_NO,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-27,2122,La Liga,Betis,Valencia,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-27,2122,La Liga,Betis,Valencia,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-27,2122,La Liga,Betis,Valencia,BTTS_YES,0.6499999999999999,1.5384615384615388,1.4652014652014655,0.46520146520146555
2021-10-27,2122,La Liga,Betis,Valencia,BTTS_NO,0.3500000000000001,2.8571428571428563,2.7210884353741487,-1.0
2021-10-27,2122,Ligue 1,Nice,Marseille,OVER25,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-27,2122,Ligue 1,Nice,Marseille,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-10-27,2122,Ligue 1,Nice,Marseille,BTTS_YES,0.4,2.5,2.380952380952381,1.380952380952381
