league,market,matches,hit_rate,avg_model_prob,avg_break_even_odds,benchmark_roi
Bundesliga,UNDER25,1370,0.38905109489051093,0.3936131386861314,2.8450990817779136,0.048531065736488015
Premier League,UNDER25,1733,0.43277553375649164,0.4344200807847663,2.5261598855078367,0.03450308503478063
Serie A,BTTS_NO,1733,0.4979803808424697,0.4869013271783035,2.1888719410358184,0.030130730485194202
Ligue 1,BTTS_NO,1527,0.4531761624099542,0.4516044531761623,2.418401057832469,0.02880664714435548
Bundesliga,BTTS_NO,1370,0.3978102189781022,0.4032846715328467,2.6894839143014324,0.02408683117755063
Premier League,BTTS_NO,1733,0.44373918061165607,0.4447201384881708,2.4651276626175647,0.011671308019506799
Ligue 1,UNDER25,1527,0.46430910281597904,0.4673215455140799,2.297860274775795,0.0066522078871222206
La Liga,BTTS_YES,1739,0.5215641173087981,0.5198964922369178,2.050701709337504,0.0041126660114680245
La Liga,OVER25,1739,0.48016101207590567,0.476394479585969,2.281855365710184,0.003667102361899379
Serie A,UNDER25,1733,0.5222158107328332,0.5158107328332372,2.08168398833176,0.001738081703362604
La Liga,BTTS_NO,1739,0.47843588269120185,0.4801035077630823,2.255978434326369,-0.0016655732729396822
Premier League,BTTS_YES,1733,0.5562608193883439,0.5552798615118292,1.8979706699216345,-0.0017435483290304517
Ligue 1,OVER25,1527,0.535690897184021,0.5326784544859201,1.9760209390106533,-0.003332293217992149
Premier League,OVER25,1733,0.5672244662435084,0.5655799192152338,1.8578313924025203,-0.004105134073566978
Ligue 1,BTTS_YES,1527,0.5468238375900458,0.5483955468238376,1.924706998554219,-0.0056959988390321535
Bundesliga,BTTS_YES,1370,0.6021897810218978,0.5967153284671532,1.7366247058604294,-0.006035796994516317
Bundesliga,OVER25,1370,0.6109489051094891,0.6063868613138687,1.7167384789173,-0.008024749567313642
Serie A,OVER25,1733,0.47778418926716676,0.4841892671667628,2.2233083653351122,-0.012133491905781722
Serie A,BTTS_YES,1733,0.5020196191575302,0.5130986728216965,2.0592564594210834,-0.018776029012322094
La Liga,UNDER25,1739,0.5198389879240943,0.5236055204140311,2.0469032239995943,-0.02177077753691385
