target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
OU25,Greece Super League,OVER25,0.09,2.0,3.0,131,37.48,0.2861068702290076,0.5648854961832062,2.2883969465648852,3,3,0.1322222222222222
OU25,Greece Super League,OVER25,0.09,2.0,4.0,132,36.480000000000004,0.27636363636363637,0.5606060606060606,2.2942424242424244,3,3,0.1076086956521739
OU25,Greece Super League,OVER25,0.09,2.0,,132,36.480000000000004,0.27636363636363637,0.5606060606060606,2.2942424242424244,3,3,0.1076086956521739
OU25,Greece Super League,OVER25,0.07,2.0,2.5,145,38.099999999999994,0.2627586206896551,0.5655172413793104,2.233241379310345,3,3,0.07608695652173911
OU25,Greece Super League,OVER25,0.07,2.0,3.0,162,42.0,0.25925925925925924,0.5555555555555556,2.2764814814814818,3,3,0.07303571428571429
OU25,Greece Super League,OVER25,0.07,2.0,4.0,164,40.0,0.24390243902439024,0.5487804878048781,2.2871341463414634,3,3,0.03603448275862067
OU25,Greece Super League,OVER25,0.07,2.0,,164,40.0,0.24390243902439024,0.5487804878048781,2.2871341463414634,3,3,0.03603448275862067
OU25,Greece Super League,TUTTI,0.09,2.0,2.5,145,34.93,0.24089655172413793,0.5586206896551724,2.2195862068965515,3,3,0.18410714285714289
OU25,Greece Super League,OVER25,0.09,1.35,2.5,169,39.379999999999995,0.2330177514792899,0.591715976331361,2.1014201183431953,3,3,0.0302325581395349
OU25,Greece Super League,OVER25,0.09,1.35,3.0,186,43.27999999999999,0.23268817204301068,0.5806451612903226,2.1511290322580647,3,3,0.03566037735849056
OU25,Greece Super League,OVER25,0.09,1.5,2.5,168,38.970000000000006,0.23196428571428576,0.5892857142857143,2.1055357142857143,3,3,0.0302325581395349
OU25,Greece Super League,OVER25,0.09,1.5,3.0,185,42.87,0.23172972972972972,0.5783783783783784,2.155135135135135,3,3,0.03566037735849056
OU25,Greece Super League,TUTTI,0.07,2.0,2.5,191,43.949999999999996,0.2301047120418848,0.5549738219895288,2.22,3,3,0.1567741935483871
OU25,Greece Super League,OVER25,0.09,1.65,3.0,179,40.96,0.2288268156424581,0.5698324022346368,2.174189944134078,3,3,0.03566037735849056
OU25,Greece Super League,OVER25,0.09,1.65,2.5,162,37.06,0.22876543209876546,0.5802469135802469,2.124753086419753,3,3,0.0302325581395349
OU25,Portugal Primeira Liga,OVER25,0.03,1.5,2.0,137,31.300000000000004,0.22846715328467157,0.6861313868613139,1.7956204379562044,3,3,0.05482758620689656
OU25,Greece Super League,OVER25,0.09,1.35,4.0,187,42.279999999999994,0.22609625668449196,0.5775401069518716,2.155989304812834,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.09,1.35,,187,42.279999999999994,0.22609625668449196,0.5775401069518716,2.155989304812834,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.09,1.8,3.0,167,37.62,0.2252694610778443,0.5568862275449101,2.206766467065868,3,3,0.07627450980392156
OU25,Greece Super League,OVER25,0.09,1.5,4.0,186,41.86999999999999,0.22510752688172037,0.5752688172043011,2.16,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.09,1.5,,186,41.86999999999999,0.22510752688172037,0.5752688172043011,2.16,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.09,1.8,2.5,150,33.72,0.2248,0.5666666666666667,2.1570666666666662,3,3,0.08048780487804875
OU25,Greece Super League,OVER25,0.09,1.65,4.0,180,39.959999999999994,0.22199999999999998,0.5666666666666667,2.179111111111111,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.09,1.65,,180,39.959999999999994,0.22199999999999998,0.5666666666666667,2.179111111111111,3,3,0.016481481481481475
OU25,Greece Super League,OVER25,0.07,1.8,3.0,206,45.589999999999996,0.22131067961165046,0.558252427184466,2.1984466019417477,3,3,0.016349206349206325
OU25,Greece Super League,OVER25,0.07,1.8,2.5,189,41.69,0.22058201058201057,0.5661375661375662,2.158253968253968,3,3,0.008301886792452804
OU25,Greece Super League,OVER25,0.09,1.8,4.0,168,36.62,0.21797619047619046,0.5535714285714286,2.211845238095238,3,3,0.05557692307692304
OU25,Greece Super League,OVER25,0.09,1.8,,168,36.62,0.21797619047619046,0.5535714285714286,2.211845238095238,3,3,0.05557692307692304
OU25,Portugal Primeira Liga,OVER25,0.03,1.35,2.0,154,32.68,0.2122077922077922,0.6948051948051948,1.7544155844155844,3,3,0.0475
OU25,Greece Super League,OVER25,0.12,1.35,3.0,128,26.04,0.2034375,0.5625,2.155703125,3,3,0.02757575757575758
