season,date,league,home_team,away_team,selection,model_probability,market_probability,edge,reference_odds,odds_source,profit_units
2122,2021-11-05,Bundesliga,Mainz,M'gladbach,UNDER25,0.5,0.4533678756476684,0.046632124352331605,2.11,Media mercato Football-Data,1.1099999999999999
2122,2021-11-06,Bundesliga,Bayern Munich,Freiburg,UNDER25,0.30000000000000004,0.24414062499999994,0.0558593750000001,3.87,Media mercato Football-Data,-1.0
2122,2021-11-06,Bundesliga,Bochum,Hoffenheim,OVER25,0.6,0.5826972010178116,0.01730279898218834,1.64,Media mercato Football-Data,-1.0
2122,2021-11-06,Bundesliga,Stuttgart,Bielefeld,UNDER25,0.5,0.46614583333333337,0.03385416666666663,2.05,Media mercato Football-Data,1.0499999999999998
2122,2021-11-06,Bundesliga,Wolfsburg,Augsburg,UNDER25,0.55,0.464935064935065,0.08506493506493507,2.06,Media mercato Football-Data,1.06
2122,2021-11-06,Bundesliga,RB Leipzig,Dortmund,OVER25,0.65,0.6109725685785536,0.03902743142144638,1.56,Media mercato Football-Data,0.56
2122,2021-11-07,Bundesliga,Hertha,Leverkusen,OVER25,0.75,0.548051948051948,0.201948051948052,1.74,Media mercato Football-Data,-1.0
2122,2021-11-07,Bundesliga,FC Koln,Union Berlin,OVER25,0.55,0.545219638242894,0.004780361757106055,1.76,Media mercato Football-Data,0.76
2122,2021-11-07,Bundesliga,Greuther Furth,Ein Frankfurt,UNDER25,0.5,0.4444444444444444,0.05555555555555558,2.15,Media mercato Football-Data,-1.0
2122,2021-11-19,Bundesliga,Augsburg,Bayern Munich,OVER25,0.75,0.7236286919831223,0.026371308016877704,1.31,Media mercato Football-Data,0.31000000000000005
2122,2021-11-20,Bundesliga,Bielefeld,Wolfsburg,UNDER25,0.65,0.5324675324675325,0.11753246753246749,1.8,Media mercato Football-Data,-1.0
2122,2021-11-20,Bundesliga,Dortmund,Stuttgart,UNDER25,0.35,0.34688995215311,0.0031100478468899517,2.73,Media mercato Football-Data,-1.0
2122,2021-11-20,Bundesliga,Hoffenheim,RB Leipzig,UNDER25,0.4,0.39,0.010000000000000009,2.44,Media mercato Football-Data,1.44
2122,2021-11-20,Bundesliga,Leverkusen,Bochum,UNDER25,0.4,0.38118811881188125,0.018811881188118773,2.5,Media mercato Football-Data,1.5
2122,2021-11-20,Bundesliga,M'gladbach,Greuther Furth,UNDER25,0.4,0.3542168674698795,0.04578313253012051,2.68,Media mercato Football-Data,-1.0
2122,2021-11-20,Bundesliga,Union Berlin,Hertha,OVER25,0.6499999999999999,0.43556701030927836,0.21443298969072155,2.19,Media mercato Football-Data,-1.0
2122,2021-11-21,Bundesliga,Freiburg,Ein Frankfurt,UNDER25,0.55,0.451948051948052,0.09805194805194806,2.11,Media mercato Football-Data,1.1099999999999999
2122,2021-11-21,Bundesliga,Mainz,FC Koln,UNDER25,0.44999999999999996,0.4444444444444444,0.005555555555555536,2.15,Media mercato Football-Data,1.15
2122,2021-11-26,Bundesliga,Stuttgart,Mainz,OVER25,0.5,0.46736292428198434,0.03263707571801566,2.04,Media mercato Football-Data,1.04
2122,2021-11-27,Bundesliga,Bochum,Freiburg,OVER25,0.5,0.48825065274151447,0.011749347258485532,1.96,Media mercato Football-Data,0.96
2122,2021-11-27,Bundesliga,FC Koln,M'gladbach,UNDER25,0.5,0.40506329113924056,0.09493670886075944,2.35,Media mercato Football-Data,-1.0
2122,2021-11-27,Bundesliga,Greuther Furth,Hoffenheim,OVER25,0.65,0.6159600997506234,0.03403990024937664,1.54,Media mercato Football-Data,0.54
2122,2021-11-27,Bundesliga,Hertha,Augsburg,OVER25,0.6,0.441860465116279,0.15813953488372096,2.16,Media mercato Football-Data,-1.0
2122,2021-11-27,Bundesliga,Wolfsburg,Dortmund,OVER25,0.55,0.5234374999999999,0.026562500000000155,1.83,Media mercato Football-Data,0.8300000000000001
2122,2021-11-27,Bundesliga,Bayern Munich,Bielefeld,UNDER25,0.25,0.22385321100917432,0.026146788990825676,4.23,Media mercato Football-Data,3.2300000000000004
2122,2021-11-28,Bundesliga,Ein Frankfurt,Union Berlin,UNDER25,0.6,0.5013123359580053,0.0986876640419947,1.9,Media mercato Football-Data,-1.0
2122,2021-11-28,Bundesliga,RB Leipzig,Leverkusen,UNDER25,0.44999999999999996,0.38213399503722084,0.06786600496277911,2.49,Media mercato Football-Data,-1.0
2122,2021-12-03,Bundesliga,Union Berlin,RB Leipzig,OVER25,0.55,0.5416666666666667,0.008333333333333304,1.76,Media mercato Football-Data,0.76
2122,2021-12-04,Bundesliga,Augsburg,Bochum,OVER25,0.5,0.4739583333333334,0.026041666666666574,2.02,Media mercato Football-Data,1.02
2122,2021-12-04,Bundesliga,Bielefeld,FC Koln,UNDER25,0.5,0.4739583333333334,0.026041666666666574,2.02,Media mercato Football-Data,1.02
2122,2021-12-04,Bundesliga,Hoffenheim,Ein Frankfurt,UNDER25,0.55,0.39698492462311563,0.1530150753768844,2.4,Media mercato Football-Data,-1.0
2122,2021-12-04,Bundesliga,Leverkusen,Greuther Furth,UNDER25,0.30000000000000004,0.2881720430107527,0.011827956989247324,3.31,Media mercato Football-Data,-1.0
2122,2021-12-04,Bundesliga,Mainz,Wolfsburg,UNDER25,0.55,0.5402597402597403,0.009740259740259716,1.77,Media mercato Football-Data,-1.0
2122,2021-12-04,Bundesliga,Dortmund,Bayern Munich,OVER25,0.8500000000000001,0.7209302325581396,0.1290697674418605,1.32,Media mercato Football-Data,0.32000000000000006
2122,2021-12-05,Bundesliga,Stuttgart,Hertha,OVER25,0.5,0.4856396866840731,0.01436031331592691,1.97,Media mercato Football-Data,0.97
2122,2021-12-05,Bundesliga,M'gladbach,Freiburg,UNDER25,0.5,0.4533678756476684,0.046632124352331605,2.11,Media mercato Football-Data,-1.0
2122,2021-12-10,Bundesliga,FC Koln,Augsburg,UNDER25,0.44999999999999996,0.43958868894601544,0.010411311053984518,2.18,Media mercato Football-Data,1.1800000000000002
2122,2021-12-11,Bundesliga,Bayern Munich,Mainz,OVER25,0.75,0.7170212765957447,0.03297872340425534,1.33,Media mercato Football-Data,0.33000000000000007
2122,2021-12-11,Bundesliga,Bochum,Dortmund,UNDER25,0.35,0.3492822966507177,0.0007177033492822837,2.72,Media mercato Football-Data,1.7200000000000002
2122,2021-12-11,Bundesliga,Freiburg,Hoffenheim,OVER25,0.6,0.5852417302798981,0.014758269720101858,1.63,Media mercato Football-Data,0.6299999999999999
2122,2021-12-11,Bundesliga,Hertha,Bielefeld,UNDER25,0.55,0.5428571428571429,0.0071428571428571175,1.76,Media mercato Football-Data,0.76
2122,2021-12-11,Bundesliga,RB Leipzig,M'gladbach,UNDER25,0.44999999999999996,0.3734643734643735,0.07653562653562646,2.55,Media mercato Football-Data,-1.0
2122,2021-12-11,Bundesliga,Wolfsburg,Stuttgart,OVER25,0.55,0.5078125,0.042187500000000044,1.89,Media mercato Football-Data,-1.0
2122,2021-12-12,Bundesliga,Greuther Furth,Union Berlin,OVER25,0.75,0.5454545454545455,0.20454545454545447,1.75,Media mercato Football-Data,-1.0
2122,2021-12-12,Bundesliga,Ein Frankfurt,Leverkusen,UNDER25,0.44999999999999996,0.40050377833753154,0.04949622166246842,2.38,Media mercato Football-Data,-1.0
