league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Premier League,OVER25,0.03,TOTALE,703,-66.28,-0.09428165007112375,0.5220483641536273,1.7637980085348504
Premier League,OVER25,0.03,2122,101,-5.23,-0.05178217821782179,0.504950495049505,1.9120792079207922
Premier League,OVER25,0.03,2223,136,-16.650000000000002,-0.1224264705882353,0.49264705882352944,1.8136764705882353
Premier League,OVER25,0.03,2324,189,-9.040000000000001,-0.047830687830687835,0.5767195767195767,1.6846031746031744
Premier League,OVER25,0.03,2425,137,-23.85,-0.17408759124087592,0.49635036496350365,1.6954744525547445
Premier League,OVER25,0.03,2526,140,-11.510000000000002,-0.08221428571428573,0.5142857142857142,1.7821428571428573
Premier League,UNDER25,0.03,TOTALE,648,-76.94,-0.11873456790123456,0.3966049382716049,2.3129166666666667
Premier League,UNDER25,0.03,2122,104,-11.160000000000004,-0.10730769230769234,0.4230769230769231,2.183173076923077
Premier League,UNDER25,0.03,2223,138,-5.17,-0.03746376811594203,0.4782608695652174,2.1039130434782605
Premier League,UNDER25,0.03,2324,98,-30.91,-0.31540816326530613,0.2653061224489796,2.6511224489795917
Premier League,UNDER25,0.03,2425,145,-5.219999999999999,-0.03599999999999999,0.3931034482758621,2.5256551724137934
Premier League,UNDER25,0.03,2526,163,-24.479999999999997,-0.15018404907975458,0.39263803680981596,2.1800613496932515
Premier League,TUTTI,0.03,TOTALE,1351,-143.22000000000003,-0.10601036269430054,0.461880088823094,2.0271798667653593
Premier League,TUTTI,0.03,2122,205,-16.39,-0.07995121951219512,0.4634146341463415,2.0496097560975612
Premier League,TUTTI,0.03,2223,274,-21.82,-0.07963503649635037,0.4854014598540146,1.9598540145985401
Premier League,TUTTI,0.03,2324,287,-39.95,-0.13919860627177702,0.47038327526132406,2.014634146341463
Premier League,TUTTI,0.03,2425,282,-29.07,-0.10308510638297873,0.4432624113475177,2.122340425531915
Premier League,TUTTI,0.03,2526,303,-35.989999999999995,-0.11877887788778876,0.44884488448844884,1.9962046204620458
Serie A,OVER25,0.03,TOTALE,644,-29.360000000000003,-0.04559006211180125,0.4891304347826087,1.9937267080745342
Serie A,OVER25,0.03,2122,102,-6.919999999999997,-0.06784313725490193,0.5490196078431373,1.726470588235294
Serie A,OVER25,0.03,2223,102,-21.549999999999997,-0.21127450980392154,0.43137254901960786,1.903431372549019
Serie A,OVER25,0.03,2324,134,-7.25,-0.054104477611940295,0.47761194029850745,2.024253731343283
Serie A,OVER25,0.03,2425,154,-4.880000000000001,-0.031688311688311696,0.4935064935064935,2.024675324675324
Serie A,OVER25,0.03,2526,152,11.24,0.07394736842105264,0.4934210526315789,2.175394736842105
Serie A,UNDER25,0.03,TOTALE,752,36.129999999999995,0.04804521276595744,0.5398936170212766,1.972313829787234
Serie A,UNDER25,0.03,2122,131,13.96,0.10656488549618322,0.5114503816793893,2.2069465648854965
Serie A,UNDER25,0.03,2223,179,2.3599999999999994,0.013184357541899437,0.5251396648044693,1.9488268156424577
Serie A,UNDER25,0.03,2324,143,2.6199999999999974,0.018321678321678303,0.5244755244755245,1.9730769230769234
Serie A,UNDER25,0.03,2425,140,6.550000000000001,0.04678571428571429,0.5571428571428572,1.9173571428571425
Serie A,UNDER25,0.03,2526,159,10.64,0.0669182389937107,0.5786163522012578,1.8531446540880505
Serie A,TUTTI,0.03,TOTALE,1396,6.770000000000003,0.004849570200573068,0.5164756446991404,1.9821919770773637
Serie A,TUTTI,0.03,2122,233,7.04,0.030214592274678112,0.5278969957081545,1.996609442060086
Serie A,TUTTI,0.03,2223,281,-19.19,-0.06829181494661922,0.49110320284697506,1.9323487544483986
