league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,first_half_bets,first_half_roi,second_half_bets,second_half_roi,worst_half_roi
Bundesliga,TUTTI,0.12,2.5,5.0,64,15.209999999999999,0.23765624999999999,0.40625,3.15640625,25,0.2296,39,0.24282051282051284,0.2296
Bundesliga,A,0.12,2.5,nessuno,64,15.21,0.23765625,0.40625,3.2384375,25,0.2296,39,0.24282051282051284,0.2296
Bundesliga,A,0.12,2.0,5.0,91,17.009999999999998,0.18692307692307691,0.42857142857142855,2.8461538461538454,34,0.23852941176470588,57,0.156140350877193,0.156140350877193
Bundesliga,TUTTI,0.12,2.5,nessuno,67,12.209999999999999,0.18223880597014924,0.3880597014925373,3.2583582089552237,27,0.1385185185185185,40,0.21175000000000005,0.1385185185185185
Bundesliga,TUTTI,0.12,2.0,5.0,94,14.010000000000002,0.14904255319148937,0.4148936170212766,2.872872340425532,36,0.16972222222222222,58,0.13620689655172413,0.13620689655172413
Bundesliga,A,0.12,2.0,nessuno,94,14.01,0.14904255319148935,0.4148936170212766,2.928723404255319,36,0.16972222222222222,58,0.13620689655172413,0.13620689655172413
Bundesliga,A,0.12,1.55,5.0,114,17.15,0.15043859649122807,0.45614035087719296,2.6349122807017546,39,0.1815384615384616,75,0.13426666666666667,0.13426666666666667
Bundesliga,A,0.12,2.2,5.0,82,15.630000000000003,0.190609756097561,0.4146341463414634,2.9314634146341465,31,0.28806451612903233,51,0.13137254901960788,0.13137254901960788
Bundesliga,TUTTI,0.12,2.0,3.5,80,16.009999999999998,0.20012499999999997,0.45,2.6727499999999997,32,0.3159375,48,0.12291666666666663,0.12291666666666663
Bundesliga,A,0.12,2.0,3.5,79,17.010000000000005,0.21531645569620259,0.45569620253164556,2.663417721518987,31,0.3583870967741935,48,0.12291666666666663,0.12291666666666663
Serie A,TUTTI,0.09,1.8,2.8,65,8.06,0.12400000000000001,0.5076923076923077,2.2395384615384613,31,0.12677419354838712,34,0.1214705882352941,0.1214705882352941
Serie A,A,0.09,1.8,2.8,65,8.06,0.12400000000000001,0.5076923076923077,2.2395384615384613,31,0.12677419354838712,34,0.1214705882352941,0.1214705882352941
Bundesliga,A,0.12,1.55,nessuno,117,14.149999999999999,0.12094017094017093,0.4444444444444444,2.7066666666666666,41,0.12390243902439027,76,0.1193421052631579,0.1193421052631579
Bundesliga,TUTTI,0.12,1.55,5.0,117,14.15,0.12094017094017094,0.4444444444444444,2.661794871794872,41,0.12390243902439024,76,0.11934210526315787,0.11934210526315787
Bundesliga,A,0.12,1.8,5.0,104,15.639999999999999,0.15038461538461537,0.4326923076923077,2.7305769230769235,38,0.21263157894736848,66,0.11454545454545452,0.11454545454545452
Bundesliga,TUTTI,0.12,2.2,5.0,85,12.629999999999999,0.14858823529411763,0.4,2.9579999999999997,33,0.21,52,0.10961538461538464,0.10961538461538464
Bundesliga,A,0.12,2.2,nessuno,85,12.629999999999999,0.14858823529411763,0.4,3.019764705882353,33,0.21,52,0.1096153846153846,0.1096153846153846
Bundesliga,TUTTI,0.12,2.0,nessuno,97,11.010000000000002,0.11350515463917528,0.4020618556701031,2.9520618556701033,38,0.10815789473684212,59,0.11694915254237286,0.10815789473684212
Bundesliga,TUTTI,0.09,2.5,3.5,76,10.27,0.1351315789473684,0.3815789473684211,2.96828947368421,34,0.16882352941176465,42,0.10785714285714286,0.10785714285714286
Bundesliga,TUTTI,0.12,1.55,3.5,103,16.149999999999995,0.1567961165048543,0.47572815533980584,2.4776699029126212,37,0.2454054054054054,66,0.1071212121212121,0.1071212121212121
Bundesliga,A,0.12,1.55,3.5,102,17.150000000000002,0.1681372549019608,0.4803921568627451,2.4685294117647056,36,0.28,66,0.1071212121212121,0.1071212121212121
Bundesliga,TUTTI,0.12,1.8,5.0,107,12.64,0.11813084112149533,0.4205607476635514,2.757289719626168,40,0.15200000000000005,67,0.09791044776119404,0.09791044776119404
Bundesliga,A,0.12,1.8,nessuno,107,12.639999999999999,0.11813084112149531,0.4205607476635514,2.806355140186916,40,0.15200000000000005,67,0.09791044776119401,0.09791044776119401
Serie A,TUTTI,0.07,2.0,2.8,60,10.079999999999998,0.16799999999999998,0.5,2.3578333333333337,28,0.08892857142857143,32,0.23718750000000005,0.08892857142857143
Serie A,A,0.07,2.0,2.8,60,10.079999999999998,0.16799999999999998,0.5,2.3578333333333337,28,0.08892857142857143,32,0.23718750000000005,0.08892857142857143
Bundesliga,TUTTI,0.12,2.2,nessuno,88,9.63,0.10943181818181819,0.38636363636363635,3.0423863636363637,35,0.14085714285714285,53,0.08867924528301885,0.08867924528301885
Bundesliga,TUTTI,0.12,2.2,3.5,71,14.629999999999999,0.206056338028169,0.43661971830985913,2.7492957746478868,29,0.37689655172413794,42,0.08809523809523812,0.08809523809523812
Bundesliga,A,0.12,2.2,3.5,70,15.629999999999999,0.22328571428571428,0.44285714285714284,2.7398571428571423,28,0.42607142857142855,42,0.08809523809523812,0.08809523809523812
Bundesliga,TUTTI,0.12,1.8,nessuno,110,9.639999999999997,0.08763636363636361,0.4090909090909091,2.8302727272727277,42,0.09714285714285714,68,0.08176470588235292,0.08176470588235292
Bundesliga,TUTTI,0.12,1.8,3.5,93,14.64,0.1574193548387097,0.45161290322580644,2.567741935483871,36,0.28,57,0.07999999999999999,0.07999999999999999
Bundesliga,A,0.12,1.8,3.5,92,15.639999999999997,0.16999999999999996,0.45652173913043476,2.558586956521739,35,0.3165714285714286,57,0.07999999999999999,0.07999999999999999
Serie A,TUTTI,0.07,1.8,2.8,77,10.049999999999997,0.13051948051948048,0.5064935064935064,2.255974025974026,37,0.07459459459459458,40,0.18225000000000002,0.07459459459459458
Serie A,A,0.07,1.8,2.8,77,10.049999999999997,0.13051948051948048,0.5064935064935064,2.255974025974026,37,0.07459459459459458,40,0.18225000000000002,0.07459459459459458
Bundesliga,TUTTI,0.12,1.55,nessuno,120,11.150000000000002,0.09291666666666669,0.43333333333333335,2.7310833333333333,43,0.0716279069767442,77,0.10480519480519476,0.0716279069767442
TUTTI,D,0.07,1.55,3.5,65,6.550000000000001,0.10076923076923078,0.3384615384615385,3.228615384615385,27,0.07037037037037039,38,0.12236842105263158,0.07037037037037039
TUTTI,D,0.07,1.8,3.5,65,6.550000000000001,0.10076923076923078,0.3384615384615385,3.228615384615385,27,0.07037037037037039,38,0.12236842105263158,0.07037037037037039
TUTTI,D,0.07,2.0,3.5,65,6.550000000000001,0.10076923076923078,0.3384615384615385,3.228615384615385,27,0.07037037037037039,38,0.12236842105263158,0.07037037037037039
TUTTI,D,0.07,2.2,3.5,65,6.550000000000001,0.10076923076923078,0.3384615384615385,3.228615384615385,27,0.07037037037037039,38,0.12236842105263158,0.07037037037037039
TUTTI,D,0.07,2.5,3.5,65,6.550000000000001,0.10076923076923078,0.3384615384615385,3.228615384615385,27,0.07037037037037039,38,0.12236842105263158,0.07037037037037039
Serie A,TUTTI,0.09,1.55,2.8,87,5.89,0.06770114942528735,0.5172413793103449,2.089080459770116,39,0.06256410256410258,48,0.07187500000000001,0.06256410256410258
Serie A,A,0.09,1.55,2.8,87,5.89,0.06770114942528735,0.5172413793103449,2.089080459770116,39,0.06256410256410258,48,0.07187500000000001,0.06256410256410258
Premier League,TUTTI,0.07,2.5,5.0,101,19.97,0.1977227722772277,0.3465346534653465,3.3196039603960386,36,0.052777777777777826,65,0.278,0.052777777777777826
Serie A,TUTTI,0.05,2.0,2.8,65,12.32,0.18953846153846154,0.5076923076923077,2.3626153846153843,31,0.05064516129032256,34,0.3161764705882353,0.05064516129032256
Serie A,A,0.05,2.0,2.8,65,12.32,0.18953846153846154,0.5076923076923077,2.3626153846153843,31,0.05064516129032256,34,0.3161764705882353,0.05064516129032256
Bundesliga,A,0.09,2.5,5.0,98,9.82,0.10020408163265307,0.3469387755102041,3.2397959183673475,41,0.1692682926829268,57,0.050526315789473676,0.050526315789473676
Bundesliga,TUTTI,0.09,2.0,3.5,116,9.93,0.08560344827586207,0.4051724137931034,2.724655172413793,51,0.13215686274509808,65,0.04907692307692304,0.04907692307692304
Bundesliga,TUTTI,0.09,2.5,5.0,115,11.889999999999999,0.10339130434782608,0.3391304347826087,3.3300000000000005,44,0.1922727272727273,71,0.04830985915492957,0.04830985915492957
Serie A,TUTTI,0.05,1.8,2.8,82,12.29,0.1498780487804878,0.5121951219512195,2.2659756097560977,40,0.045999999999999985,42,0.24880952380952384,0.045999999999999985
