test_season,date,league,selection,edge,odds,profit_units
2324,2023-08-11,La Liga,H,0.045794544978304874,2.54,-1.0
2324,2023-08-11,La Liga,H,0.06440979552644216,1.93,-1.0
2324,2023-08-11,Ligue 1,H,0.027427896962338216,2.57,-1.0
2324,2023-08-11,Premier League,H,0.024814922910536663,9.02,-1.0
2324,2023-08-12,La Liga,H,0.04620035145371626,3.4,-1.0
2324,2023-08-12,La Liga,H,0.002998092134781527,1.63,-1.0
2324,2023-08-12,Ligue 1,H,0.024154052144140348,1.7,0.7
2324,2023-08-12,Ligue 1,H,0.02726537857919209,1.33,-1.0
2324,2023-08-12,Premier League,H,0.00781244968666106,1.18,0.17999999999999994
2324,2023-08-12,Premier League,H,0.06471618336396784,2.69,-1.0
2324,2023-08-12,Premier League,D,0.028551604646590956,3.43,-1.0
2324,2023-08-12,Premier League,H,0.05015436905140802,1.76,0.76
2324,2023-08-13,La Liga,H,0.04470383954763507,2.12,-1.0
2324,2023-08-13,La Liga,H,0.028686787184076246,6.35,-1.0
2324,2023-08-13,La Liga,A,0.00939723398532799,4.4,3.4000000000000004
2324,2023-08-13,Ligue 1,A,0.05407643090974351,1.96,-1.0
2324,2023-08-13,Ligue 1,A,0.16976335426089256,2.04,1.04
2324,2023-08-13,Ligue 1,D,0.018511532873514813,3.38,-1.0
2324,2023-08-13,Ligue 1,A,0.009412572075059689,7.59,-1.0
2324,2023-08-13,Ligue 1,A,0.04316968954703959,2.61,-1.0
2324,2023-08-13,Premier League,A,0.011997258390692933,2.5,-1.0
2324,2023-08-13,Premier League,D,0.06412870471104859,3.64,2.64
2324,2023-08-14,La Liga,A,0.01863835556496407,10.27,-1.0
2324,2023-08-14,La Liga,H,0.0734295999607224,2.19,1.19
2324,2023-08-14,Premier League,H,0.02804514717627815,1.31,0.31000000000000005
2324,2023-08-18,Bundesliga,H,0.03763697714370971,8.5,-1.0
2324,2023-08-18,La Liga,H,0.04632260172302255,2.95,-1.0
2324,2023-08-18,Ligue 1,D,0.0588759137595678,4.01,3.01
2324,2023-08-19,Bundesliga,D,0.038949191567515196,3.69,2.69
